x,y
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.0
28.0,0.0
29.0,0.0
30.0,0.0
31.0,0.0
32.0,0.0
33.0,0.0
34.0,0.0
35.0,0.0
36.0,0.0
37.0,0.0
37.51809951926959,-0.005181167899443913
38.036121322963616,-0.015542985585859419
38.554013609333396,-0.031084416886112697
39.07172458958187,-0.05180390767002487
39.589202493042436,-0.07769938600578374
40.10639557235598,-0.10876826236713522
40.62325210864556,-0.1450074298923338
41.139720416688256,-0.1864132646948262
41.65574885008366,-0.23298162622563687
42.17128580641845,-0.2847078576874196
42.68627973242661,-0.34158678650013324
43.2006791291447,-0.4036127248182955
43.71443255706171,-0.4707794700997627
44.22748864126297,-0.5430803057259787
44.739796076567615,-0.6205080016736314
45.251303632659024,-0.703054815237649
45.76196015920785,-0.7907124918054638
46.27171459098699,-0.8834722656824668
46.78051595297804,-0.98132486096857
47.288313365468824,-1.0842604924857882
47.795056049141245,-1.1922688667567491
48.300693330149215,-1.3053391830340324
48.80517464518601,-1.423460134380235
49.30844954654051,-1.5466199087986567
49.81046770714198,-1.674806190414488
50.31117892559271,-1.8080061607063889
50.810533131188116,-1.9462064997883297
51.30848038892376,-2.089393387741569
51.804970904488826,-2.2375525059966335
52.299955029245496,-2.390669038765163
52.793383265193775,-2.5487276745214773
53.28520626992127,-2.711712607533716
53.775374861537344,-2.8796075394443985
54.26384002359132,-3.0523956809002453
54.75055290997404,-3.230059753231101
55.23546484980246,-3.4125819901777845
55.718527352286685,-3.599944139668703
56.199692111579026,-3.7921274656450423
56.67891101160451,-3.9891127499343564
57.1561361308725,-4.190880294172371
57.63131974726873,-4.3974099217728
58.104414342827575,-4.608680979944992
58.575372608483704,-4.824672341759189
